"Year" "Species_ID" "presence_01" "Species_name" "Maxheight_cm" "Family" "IUCN_CH" "N_value" "C" "R" "T_value" "K_value" "L_value" "F_value" "R_value" "H_Rivers_and_Lakes" "H_Shorelines" "H_Bogs_and_mires" "H_Rocks_and_debris" "H_Dry_meadows" "H_Rich_meadows" "H_Alpine_pastures" "H_Herbaceous_fringe" "H_Shrubs_hedges" "H_Forests" "H_Ruderal_areas" "H_Cropfields" "IUCNorder" "Fn" "Tn" "Kn" "Rn" "Nn" "Ln" "Rnum" "Cnum" "yeardif" "yeardifnew" "xy_coded"
"22" 1995 "448900" 1 "Viola alba subsp. scotophylla (Jord.) Nyman" 15 "Violaceae" "VU" "3" "CC" "0" "4.5" "4" "3" "2" "4" NA NA NA NA NA NA NA NA NA NA NA NA "5_VU" 2 4.5 4 4 3 3 0 2 17 15 5
"23" 1998 "229400" 0 "Lathyrus hirsutus L." 100 "Fabaceae" "CR" "3" "C" "RR" "4.5" "4" "3" "2" "4" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "1" "3_CR" 2 4.5 4 4 3 3 2 1 14 12 6
"24" 1998 "348600" 1 "Rosa gallica L." 100 "Rosaceae" "EN" "2" "CCC" "0" "4.5" "4" "3" "2.5" "4" "0" "0" "0" "0" "0" "0" "0" "1" "0" "0" "0" "0" "4_EN" 2.5 4.5 4 4 2 3 0 3 14 12 6
"25" 1998 "7600" 1 "Agrimonia procera Wallr." 100 "Rosaceae" "VU" "3" "CC" "0" "4.5" "2" "4" "3" "3" "0" "0" "0" "0" "0" "0" "0" "1" "0" "0" "0" "0" "5_VU" 3 4.5 2 3 3 4 0 2 14 12 6
"26" 2001 "228000" 1 "Laserpitium prutenicum L." 100 "Apiaceae" "EN" "2" "CC" "0" "4" "4" "3" "3.5" "4" "0" "0" "1" "0" "0" "0" "0" "0" "0" "0" "0" "0" "4_EN" 3.5 4 4 4 2 3 0 2 11 9 7
"27" 1995 "285100" 1 "Orobanche gracilis Sm." 60 "Orobanchaceae" "VU" "2" "0" "R" "4.5" "4" "4" "2" "4" "0" "0" "0" "0" "1" "0" "1" "1" "0" "0" "0" "0" "5_VU" 2 4.5 4 4 2 4 1 0 17 15 7
"28" 1995 "388300" 1 "Senecio erraticus Bertol." 100 "Asteraceae" "EN" "3" "C" "R" "4" "2" "4" "4" "3" "0" "0" "1" "0" "0" "0" "0" "0" "0" "0" "0" "0" "4_EN" 4 4 2 3 3 4 1 1 17 15 7
"29" 1995 "126700" 1 "Cucubalus baccifer L." 150 "Caryophyllaceae" "VU" "4" "CC" "0" "5" "2" "3" "4" "4" "0" "1" "0" "0" "0" "0" "0" "1" "0" "0" "0" "0" "5_VU" 4 5 2 4 4 3 0 2 17 15 8
"30" 1997 "157300" 1 "Eryngium campestre L." 50 "Apiaceae" "EN" "2" "CC" "0" "5" "3" "4" "1.5" "4" "0" "0" "0" "0" "1" "0" "0" "0" "0" "0" "0" "0" "4_EN" 1.5 5 3 4 2 4 0 2 15 13 8
"31" 1995 "160100" 1 "Euphorbia falcata L." 20 "Euphorbiaceae" "EN" "4" "0" "RRR" "5" "3" "4" "2" "4" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "1" "4_EN" 2 5 3 4 4 4 3 0 17 15 8
"32" 1995 "172800" 0 "Filago pyramidata L." 30 "Asteraceae" "RE" "3" "0" "RR" "5" "2" "4" "2" "3" "0" "0" "0" "1" "0" "0" "0" "0" "0" "0" "0" "0" "2_RE" 2 5 2 3 3 4 2 0 17 15 8
"33" 1995 "279200" 1 "Ophrys sphegodes Mill." NA "Orchidaceae" "EN" NA NA NA "4.5" "2" "3" "2" "5" "0" "0" "0" "0" "1" "0" "0" "1" "0" "0" "0" "0" "4_EN" 2 4.5 2 5 NA 3 NA NA 17 15 8
"34" 1992 "285100" 1 "Orobanche gracilis Sm." 60 "Orobanchaceae" "VU" "2" "0" "R" "4.5" "4" "4" "2" "4" "0" "0" "0" "0" "1" "0" "1" "1" "0" "0" "0" "0" "5_VU" 2 4.5 4 4 2 4 1 0 20 18 8
"35" 1995 "342800" 1 "Rapistrum rugosum (L.) All." 60 "Brassicaceae" "VU" "4" "0" "RRR" "4.5" "4" "4" "2" "4" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "1" "5_VU" 2 4.5 4 4 4 4 3 0 17 15 8
"36" 1974 "381200" 1 "Scorzonera humilis L." 50 "Asteraceae" "NT" "2" "CC" "0" "3.5" "4" "3" "3.5" "4" "0" "0" "1" "0" "0" "0" "1" "0" "0" "0" "0" "0" "6_NT" 3.5 3.5 4 4 2 3 0 2 38 36 8
"37" 1995 "419800" 1 "Thymelaea passerina (L.) Coss. & Germ." 40 "Thymelaeaceae" "EN" "4" "0" "RRR" "4.5" "4" "4" "2" "4" "0" "0" "0" "1" "0" "0" "0" "0" "0" "0" "0" "1" "4_EN" 2 4.5 4 4 4 4 3 0 17 15 8
"38" 1995 "427700" 1 "Trifolium scabrum L." 15 "Fabaceae" "EN" "2" "0" "RR" "5" "2" "4" "1" "4" "0" "0" "0" "1" "0" "0" "0" "0" "0" "0" "0" "0" "4_EN" 1 5 2 4 2 4 2 0 17 15 8
"39" 1995 "437600" 1 "Valerianella rimosa Bastard" 30 "Valerianaceae" "EN" "3" "0" "RRR" "4.5" "2" "4" "2.5" "2" "0" "0" "0" "1" "0" "0" "0" "0" "0" "0" "0" "1" "4_EN" 2.5 4.5 2 2 3 4 3 0 17 15 8
"40" 1974 "62300" 1 "Blackstonia acuminata (W. D. J. Koch & Ziz) Domin" 50 "Gentianaceae" "EN" "1" "0" "RRR" "4.5" "4" "4" "3.5" "4" "0" "1" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "4_EN" 3.5 4.5 4 4 1 4 3 0 38 36 8
"41" 1999 "197200" 0 "Heliotropium europaeum L." 30 "Boraginaceae" "VU" "4" "C" "RR" "4.5" "4" "4" "2" "4" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "1" "5_VU" 2 4.5 4 4 4 4 2 1 13 11 9
"42" 1994 "279200" 1 "Ophrys sphegodes Mill." NA "Orchidaceae" "EN" NA NA NA "4.5" "2" "3" "2" "5" "0" "0" "0" "0" "1" "0" "0" "1" "0" "0" "0" "0" "4_EN" 2 4.5 2 5 NA 3 NA NA 18 16 9
"43" 1996 "285100" 1 "Orobanche gracilis Sm." 60 "Orobanchaceae" "VU" "2" "0" "R" "4.5" "4" "4" "2" "4" "0" "0" "0" "0" "1" "0" "1" "1" "0" "0" "0" "0" "5_VU" 2 4.5 4 4 2 4 1 0 16 14 9
"44" 1996 "342800" 1 "Rapistrum rugosum (L.) All." 60 "Brassicaceae" "VU" "4" "0" "RRR" "4.5" "4" "4" "2" "4" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "1" "5_VU" 2 4.5 4 4 4 4 3 0 16 14 9
"45" 1995 "437600" 1 "Valerianella rimosa Bastard" 30 "Valerianaceae" "EN" "3" "0" "RRR" "4.5" "2" "4" "2.5" "2" "0" "0" "0" "1" "0" "0" "0" "0" "0" "0" "0" "1" "4_EN" 2.5 4.5 2 2 3 4 3 0 17 15 9
