"Year" "Species_ID" "presence_01" "Species_name" "Maxheight_cm" "Family" "IUCN_CH" "N_value" "C" "R" "T_value" "K_value" "L_value" "F_value" "R_value" "H_Rivers_and_Lakes" "H_Shorelines" "H_Bogs_and_mires" "H_Rocks_and_debris" "H_Dry_meadows" "H_Rich_meadows" "H_Alpine_pastures" "H_Herbaceous_fringe" "H_Shrubs_hedges" "H_Forests" "H_Ruderal_areas" "H_Cropfields" "IUCNorder" "Fn" "Tn" "Kn" "Rn" "Nn" "Ln" "Rnum" "Cnum" "yeardif" "yeardifnew" "xy_coded"
"1822" 2001 "54800" 1 "Astragalus sempervirens Lam." 20 "Fabaceae" "NT" "2" "CC" "0" "2.5" "4" "3" "1" "4" "0" "0" "0" "1" "0" "0" "0" "0" "0" "0" "0" "0" "6_NT" 1 2.5 4 4 2 3 0 2 11 9 743
"1823" 2001 "69600" 1 "Bupleurum longifolium L." 80 "Apiaceae" "VU" "3" "C" "R" "3" "4" "3" "2.5" "4" "0" "0" "0" "0" "0" "0" "0" "1" "0" "1" "0" "0" "5_VU" 2.5 3 4 4 3 3 1 1 11 9 744
"1824" 1996 "158700" 0 "Erysimum virgatum Roth" 100 "Brassicaceae" "NT" "4" "C" "R" "3.5" "5" "3" "2" "3" "0" "0" "0" "0" "0" "0" "0" "1" "0" "0" "0" "0" "6_NT" 2 3.5 5 3 4 3 1 1 16 14 745
"1825" 1999 "75100" 0 "Campanula cervicaria L." 100 "Campanulaceae" "EN" "3" "C" "R" "4" "4" "3" "3" "4" "0" "0" "1" "0" "0" "0" "0" "1" "0" "0" "0" "0" "4_EN" 3 4 4 4 3 3 1 1 13 11 746
"1826" 1970 "160800" 1 "Euphorbia palustris L." 150 "Euphorbiaceae" "VU" "3" "CC" "0" "4.5" "2" "3" "4.5" "4" "0" "0" "1" "0" "0" "0" "0" "0" "0" "0" "0" "0" "5_VU" 4.5 4.5 2 4 3 3 0 2 42 40 747
"1827" 1970 "209400" 1 "Hydrocotyle vulgaris L." 30 "Apiaceae" "VU" "2" "C" "R" "4.5" "2" "3" "4.5" "3" "0" "1" "1" "0" "0" "0" "0" "0" "0" "0" "0" "0" "5_VU" 4.5 4.5 2 3 2 3 1 1 42 40 747
"1828" 1970 "22200" 1 "Allium angulosum L." 70 "Liliaceae" "VU" "3" "C" "R" "4" "4" "4" "4" "5" "0" "0" "1" "0" "0" "0" "0" "0" "0" "0" "0" "0" "5_VU" 4 4 4 5 3 4 1 1 42 40 747
"1829" 1973 "234200" 1 "Leontodon saxatilis Lam." 20 "Asteraceae" "NT" "3" "C" "R" "4.5" "2" "4" "2.5" "3" "0" "0" "0" "0" "1" "1" "0" "0" "0" "0" "0" "0" "6_NT" 2.5 4.5 2 3 3 4 1 1 39 37 747
"1830" 1970 "266000" 1 "Myosotis cespitosa Schultz" 50 "Boraginaceae" "VU" "3" "C" "R" "4.5" "3" "4" "4.5" "2" "0" "1" "1" "0" "0" "0" "0" "0" "0" "0" "0" "0" "5_VU" 4.5 4.5 3 2 3 4 1 1 42 40 747
"1831" 2000 "281300" 1 "Orchis palustris Jacq." 50 "Orchidaceae" "VU" "2" "C" "R" "4.5" "3" "4" "4.5" "4" "0" "0" "1" "0" "0" "0" "0" "0" "0" "0" "0" "0" "5_VU" 4.5 4.5 3 4 2 4 1 1 12 10 747
"1832" 1970 "433800" 1 "Utricularia intermedia Hayne" 60 "Lentibulariaceae" "EN" "2" "0" "0" "3.5" "3" "4" "5" "4" "1" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "4_EN" 5 3.5 3 4 2 4 0 0 42 40 747
"1833" 1970 "70700" 1 "Calamagrostis canescens (F. H. Wigg.) Roth" 150 "Poaceae" "VU" "3" "CC" "0" "3.5" "4" "3" "4.5" "3" "0" "1" "1" "0" "0" "0" "0" "0" "0" "0" "0" "0" "5_VU" 4.5 3.5 4 3 3 3 0 2 42 40 747
"1834" 2001 "142400" 1 "Drosera x obovata Mert. & W. D. J. Koch" 12 "Droseraceae" "NT" "1" "0" "0" "3" "3" "4" "4" "1" "0" "0" "1" "0" "0" "0" "0" "0" "0" "0" "0" "0" "6_NT" 4 3 3 1 1 4 0 0 11 9 748
"1835" 2001 "221900" 1 "Knautia godetii Reut." 100 "Dipsacaceae" "NT" "2" "CC" "0" "2.5" "2" "3" "3.5" "4" "0" "0" "0" "0" "0" "1" "1" "0" "0" "0" "0" "0" "6_NT" 3.5 2.5 2 4 2 3 0 2 11 9 748
"1836" 2001 "85100" 1 "Carex chordorrhiza L. f." 20 "Cyperaceae" "VU" "1" "0" "0" "3.5" "3" "4" "5" "2" "0" "0" "1" "0" "0" "0" "0" "0" "0" "0" "0" "0" "5_VU" 5 3.5 3 2 1 4 0 0 11 9 748
"1837" 1995 "900247" 1 "Dactylorhiza maculata (L.) Soó [s.str. prov.]" 60 "Orchidaceae" "CR" "2" "C" "R" "3" "2" "4" "4" "1" NA NA NA NA NA NA NA NA NA NA NA NA "3_CR" 4 3 2 1 2 4 1 1 17 15 748
"1838" 1998 "174400" 1 "Fritillaria meleagris L." 40 "Liliaceae" "EN" "3" "C" "R" "3.5" "2" "4" "3.5" "4" "0" "0" "1" "0" "0" "0" "0" "0" "0" "0" "0" "0" "4_EN" 3.5 3.5 2 4 3 4 1 1 14 12 749
"1839" 1998 "145000" 1 "Eleocharis acicularis (L.) Roem. & Schult." 10 "Cyperaceae" "VU" "2" "C" "R" "3.5" "3" "4" "5" "4" "0" "1" "0" "0" "0" "0" "0" "0" "0" "0" "1" "0" "5_VU" 5 3.5 3 4 2 4 1 1 14 12 750
"1840" 2000 "145400" 1 "Eleocharis mamillata H. Lindb." 30 "Cyperaceae" "VU" "3" "C" "R" "3.5" "3" "4" "4.5" "3" "0" "0" "1" "0" "0" "0" "0" "0" "0" "0" "0" "0" "5_VU" 4.5 3.5 3 3 3 4 1 1 12 10 750
"1841" 2000 "145600" 1 "Eleocharis ovata (Roth) Roem. & Schult." 30 "Cyperaceae" "EN" "4" "0" "R" "4.5" "4" "4" "4.5" "4" "0" "1" "1" "0" "0" "0" "0" "0" "0" "0" "0" "0" "4_EN" 4.5 4.5 4 4 4 4 1 0 12 10 750
"1842" 1999 "193600" 0 "Gypsophila muralis L." 15 "Caryophyllaceae" "EN" "3" "0" "RR" "4" "4" "4" "3.5" "2" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "1" "0" "4_EN" 3.5 4 4 2 3 4 2 0 13 11 750
"1843" 2000 "360200" 1 "Rumex maritimus L." 80 "Polygonaceae" "CR" "4" "0" "R" "4" "4" "4" "4" "4" "0" "1" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "3_CR" 4 4 4 4 4 4 1 0 12 10 750
"1844" 1998 "84000" 1 "Carex bohemica Schreb." 50 "Cyperaceae" "CR" "4" "C" "0" "4.5" "4" "4" "4.5" "3" "0" "1" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "3_CR" 4.5 4.5 4 3 4 4 0 1 14 12 750
"1845" 1997 "373000" 1 "Saxifraga diapensioides Bellardi" 10 "Saxifragaceae" "NT" "1" "0" "0" "1.5" "4" "5" "1" "5" "0" "0" "0" "1" "0" "0" "0" "0" "0" "0" "0" "0" "6_NT" 1 1.5 4 5 1 5 0 0 15 13 751
"1846" 1997 "373000" 1 "Saxifraga diapensioides Bellardi" 10 "Saxifragaceae" "NT" "1" "0" "0" "1.5" "4" "5" "1" "5" "0" "0" "0" "1" "0" "0" "0" "0" "0" "0" "0" "0" "6_NT" 1 1.5 4 5 1 5 0 0 15 13 752
"1847" 1982 "187800" 1 "Geranium nodosum L." 50 "Geraniaceae" "NT" "3" "CC" "0" "4" "2" "2" "3" "3" "0" "0" "0" "0" "0" "0" "0" "1" "1" "1" "0" "0" "6_NT" 3 4 2 3 3 2 0 2 30 28 753
"1848" 1984 "187800" 0 "Geranium nodosum L." 50 "Geraniaceae" "NT" "3" "CC" "0" "4" "2" "2" "3" "3" "0" "0" "0" "0" "0" "0" "0" "1" "1" "1" "0" "0" "6_NT" 3 4 2 3 3 2 0 2 28 26 754
"1849" 1977 "373000" 0 "Saxifraga diapensioides Bellardi" 10 "Saxifragaceae" "NT" "1" "0" "0" "1.5" "4" "5" "1" "5" "0" "0" "0" "1" "0" "0" "0" "0" "0" "0" "0" "0" "6_NT" 1 1.5 4 5 1 5 0 0 35 33 754
"1850" 1999 "334400" 0 "Pyrola chlorantha Sw." 20 "Pyrolaceae" "VU" "1" "C" "0" "3.5" "4" "3" "2" "3" "0" "0" "0" "0" "0" "0" "0" "1" "0" "1" "0" "0" "5_VU" 2 3.5 4 3 1 3 0 1 13 11 755
"1851" 1999 "74800" 0 "Campanula bononiensis L." 100 "Campanulaceae" "VU" "2" "CC" "0" "4.5" "5" "3" "2" "4" "0" "0" "0" "0" "0" "0" "0" "1" "1" "1" "0" "0" "5_VU" 2 4.5 5 4 2 3 0 2 13 11 755
"1852" 1981 "319300" 1 "Potamogeton nodosus Poir." 300 "Potamogetonaceae" "VU" "3" "C" "R" "4" "2" "4" "5" "4" "1" "1" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "5_VU" 5 4 2 4 3 4 1 1 31 29 756
"1853" 1974 "243700" 1 "Lonicera etrusca Santi" 120 "Caprifoliaceae" "VU" "3" "CCC" "0" "5" "3" "3" "2" "3" "0" "0" "0" "0" "0" "0" "0" "1" "1" "1" "0" "0" "5_VU" 2 5 3 3 3 3 0 3 38 36 757
"1854" 1976 "322900" 1 "Potentilla inclinata Vill." 60 "Rosaceae" "EN" "2" "C" "R" "4.5" "5" "4" "1" "3" "0" "0" "0" "1" "1" "0" "0" "0" "0" "0" "0" "0" "4_EN" 1 4.5 5 3 2 4 1 1 36 34 757
"1855" 1998 "381300" 1 "Scorzonera laciniata L. s.str." 40 "Asteraceae" "NT" "3" "0" "RR" "4.5" "5" "4" "2" "4" "0" "0" "0" "0" "1" "0" "0" "0" "0" "0" "0" "0" "6_NT" 2 4.5 5 4 3 4 2 0 14 12 757
"1856" 1999 "363600" 1 "Salix caesia Vill." 100 "Salicaceae" "NT" "2" "CCC" "0" "2" "4" "4" "4" "3" "0" "0" "0" "0" "0" "0" "0" "0" "1" "0" "0" "0" "6_NT" 4 2 4 3 2 4 0 3 13 11 758
"1857" 1999 "427800" 0 "Trifolium spadiceum L." 40 "Fabaceae" "VU" "2" "C" "R" "2.5" "3" "4" "4" "2" "0" "0" "1" "0" "0" "0" "0" "0" "0" "0" "0" "0" "5_VU" 4 2.5 3 2 2 4 1 1 13 11 759
"1858" 1981 "342000" 1 "Ranunculus trichophyllus subsp. eradicatus (Laest.) C. D. K. Cook" 100 "Ranunculaceae" "NT" "3" "C" "0" "1.5" "2" "4" "5" "3" "1" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "6_NT" 5 1.5 2 3 3 4 0 1 31 29 760
"1859" 2001 "414100" 1 "Tephroseris capitata (Wahlenb.) Griseb. & Schenk" 30 "Asteraceae" "EN" "2" "CC" "0" "1.5" "3" "4" "2" "4" "0" "0" "0" "0" "0" "0" "1" "0" "0" "0" "0" "0" "4_EN" 2 1.5 3 4 2 4 0 2 11 9 761
"1860" 1999 "71200" 0 "Calamagrostis pseudophragmites (Haller f.) Koeler" 150 "Poaceae" "NT" "3" "CC" "0" "3.5" "4" "3" "3.5" "4" "0" "1" "0" "1" "0" "0" "0" "0" "0" "0" "0" "0" "6_NT" 3.5 3.5 4 4 3 3 0 2 13 11 762
"1861" 1990 "132360" 0 "Dactylorhiza incarnata subsp. ochroleuca (Boll) P. F. Hunt & Summerh." 60 "Orchidaceae" "EN" "2" "C" "R" "3.5" "3" "4" "4.5" "4" "0" "0" "1" "0" "0" "0" "0" "0" "0" "0" "0" "0" "4_EN" 4.5 3.5 3 4 2 4 1 1 22 20 763
"1862" 1998 "266000" 1 "Myosotis cespitosa Schultz" 50 "Boraginaceae" "VU" "3" "C" "R" "4.5" "3" "4" "4.5" "2" "0" "1" "1" "0" "0" "0" "0" "0" "0" "0" "0" "0" "5_VU" 4.5 4.5 3 2 3 4 1 1 14 12 763
"1863" 1998 "281300" 1 "Orchis palustris Jacq." 50 "Orchidaceae" "VU" "2" "C" "R" "4.5" "3" "4" "4.5" "4" "0" "0" "1" "0" "0" "0" "0" "0" "0" "0" "0" "0" "5_VU" 4.5 4.5 3 4 2 4 1 1 14 12 763
"1864" 1998 "78550" 1 "Cardamine dentata Schult." 60 "Brassicaceae" "VU" "3" "C" "R" "3.5" "3" "3" "4.5" "3" "0" "0" "1" "0" "0" "0" "0" "0" "0" "0" "0" "0" "5_VU" 4.5 3.5 3 3 3 3 1 1 14 12 763
"1865" 1997 "282700" 0 "Orlaya grandiflora (L.) Hoffm." 70 "Apiaceae" "VU" "3" "0" "RRR" "5" "4" "4" "1" "4" "0" "0" "0" "1" "0" "0" "0" "0" "0" "0" "0" "1" "5_VU" 1 5 4 4 3 4 3 0 15 13 764
"1866" 1997 "256200" 1 "Melampyrum arvense L." 40 "Scrophulariaceae" "VU" "3" "0" "RR" "4" "4" "4" "2" "4" "0" "1" "0" "0" "0" "0" "0" "1" "0" "0" "0" "0" "5_VU" 2 4 4 4 3 4 2 0 15 13 765
"1867" 1977 "414200" 1 "Tephroseris helenitis (L.) B. Nord." 70 "Asteraceae" "VU" "3" "CC" "0" "4" "2" "3" "4" "3" "0" "0" "1" "0" "0" "0" "0" "0" "0" "0" "0" "0" "5_VU" 4 4 2 3 3 3 0 2 35 33 766
"1868" 1969 "30000" 1 "Anagallis minima (L.) E. H. L. Krause" 8 "Primulaceae" "EN" "3" "0" "RRR" "4" "2" "4" "4" "2" "0" "1" "0" "0" "0" "0" "0" "0" "0" "0" "1" "1" "4_EN" 4 4 2 2 3 4 3 0 43 41 767
"1869" 2000 "193600" 0 "Gypsophila muralis L." 15 "Caryophyllaceae" "EN" "3" "0" "RR" "4" "4" "4" "3.5" "2" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "1" "0" "4_EN" 3.5 4 4 2 3 4 2 0 12 10 768
"1870" 1997 "373000" 1 "Saxifraga diapensioides Bellardi" 10 "Saxifragaceae" "NT" "1" "0" "0" "1.5" "4" "5" "1" "5" "0" "0" "0" "1" "0" "0" "0" "0" "0" "0" "0" "0" "6_NT" 1 1.5 4 5 1 5 0 0 15 13 769
"1871" 1997 "373000" 1 "Saxifraga diapensioides Bellardi" 10 "Saxifragaceae" "NT" "1" "0" "0" "1.5" "4" "5" "1" "5" "0" "0" "0" "1" "0" "0" "0" "0" "0" "0" "0" "0" "6_NT" 1 1.5 4 5 1 5 0 0 15 13 770
"1872" 1997 "373000" 1 "Saxifraga diapensioides Bellardi" 10 "Saxifragaceae" "NT" "1" "0" "0" "1.5" "4" "5" "1" "5" "0" "0" "0" "1" "0" "0" "0" "0" "0" "0" "0" "0" "6_NT" 1 1.5 4 5 1 5 0 0 15 13 771
"1873" 1996 "373000" 1 "Saxifraga diapensioides Bellardi" 10 "Saxifragaceae" "NT" "1" "0" "0" "1.5" "4" "5" "1" "5" "0" "0" "0" "1" "0" "0" "0" "0" "0" "0" "0" "0" "6_NT" 1 1.5 4 5 1 5 0 0 16 14 772
"1874" 1999 "158700" 0 "Erysimum virgatum Roth" 100 "Brassicaceae" "NT" "4" "C" "R" "3.5" "5" "3" "2" "3" "0" "0" "0" "0" "0" "0" "0" "1" "0" "0" "0" "0" "6_NT" 2 3.5 5 3 4 3 1 1 13 11 773
"1875" 2000 "118700" 0 "Consolida regalis Gray" 50 "Ranunculaceae" "VU" "3" "0" "RRR" "4" "4" "3" "2.5" "4" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "1" "5_VU" 2.5 4 4 4 3 3 3 0 12 10 774
"1876" 2000 "175100" 0 "Fumaria officinalis subsp. wirtgenii (W. D. J. Koch) Arcang." 25 "Fumariaceae" "NT" "4" "0" "RRR" "4" "4" "4" "2.5" "4" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "1" "6_NT" 2.5 4 4 4 4 4 3 0 12 10 774
"1877" 2000 "270700" 0 "Neslia paniculata (L.) Desv. s.str." 60 "Brassicaceae" "VU" "3" "C" "RR" "4" "4" "4" "2" "4" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "1" "5_VU" 2 4 4 4 3 4 2 1 12 10 774
"1878" 2000 "273150" 0 "Odontites vernus (Bellardi) Dumort." 30 "Scrophulariaceae" "VU" "4" "0" "RR" "4" "4" "4" "3" "4" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "1" "1" "5_VU" 3 4 4 4 4 4 2 0 12 10 774
"1879" 1969 "280000" 0 "Orchis coriophora L." 40 "Orchidaceae" "EN" "2" "C" "R" "4.5" "3" "4" "3.5" "4" "0" "0" "0" "0" "1" "1" "0" "1" "0" "0" "0" "0" "4_EN" 3.5 4.5 3 4 2 4 1 1 43 41 774
"1880" 2000 "337100" 0 "Ranunculus arvensis L." 60 "Ranunculaceae" "VU" "3" "0" "RRR" "4.5" "4" "4" "2.5" "4" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "1" "5_VU" 2.5 4.5 4 4 3 4 3 0 12 10 774
"1881" 2000 "5800" 0 "Adonis aestivalis L." 50 "Ranunculaceae" "VU" "3" "0" "R" "4.5" "4" "3" "2" "4" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "1" "5_VU" 2 4.5 4 4 3 3 1 0 12 10 774
"1882" 2000 "74200" 0 "Camelina microcarpa DC." 60 "Brassicaceae" "VU" "3" "0" "RRR" "4.5" "4" "4" "1.5" "3" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "1" "5_VU" 1.5 4.5 4 3 3 4 3 0 12 10 774
"1883" 1995 "176000" 0 "Gagea saxatilis (Mert. & W. D. J. Koch) Schult. & Schult. f." 8 "Liliaceae" "VU" "4" "C" "R" "4.5" "3" "5" "1.5" "3" "0" "0" "0" "1" "0" "0" "0" "0" "0" "0" "0" "0" "5_VU" 1.5 4.5 3 3 4 5 1 1 17 15 775
"1884" 1995 "381300" 0 "Scorzonera laciniata L. s.str." 40 "Asteraceae" "NT" "3" "0" "RR" "4.5" "5" "4" "2" "4" "0" "0" "0" "0" "1" "0" "0" "0" "0" "0" "0" "0" "6_NT" 2 4.5 5 4 3 4 2 0 17 15 775
"1885" 1987 "6200" 1 "Adonis vernalis L." 30 "Ranunculaceae" "VU" "2" "C" "R" "5" "5" "4" "2" "5" "0" "0" "0" "0" "1" "0" "0" "0" "0" "0" "0" "0" "5_VU" 2 5 5 5 2 4 1 1 25 23 775
"1886" 2001 "116700" 1 "Clypeola jonthlaspi L." 10 "Brassicaceae" "VU" "2" "0" "RRR" "4.5" "4" "4" "1" "3" "0" "0" "0" "1" "0" "0" "0" "0" "0" "0" "0" "0" "5_VU" 1 4.5 4 3 2 4 3 0 11 9 776
"1887" 1996 "126400" 1 "Cruciata pedemontana (Bellardi) Ehrend." 35 "Rubiaceae" "VU" "2" "0" "RR" "4.5" "4" "3" "2" "3" "0" "0" "0" "1" "1" "0" "0" "0" "0" "0" "0" "0" "5_VU" 2 4.5 4 3 2 3 2 0 16 14 776
"1888" 1994 "126500" 1 "Crupina vulgaris Cass." 70 "Asteraceae" "EN" "2" "0" "RRR" "4.5" "5" "4" "1" "4" "0" "0" "0" "1" "0" "0" "0" "0" "0" "0" "0" "0" "4_EN" 1 4.5 5 4 2 4 3 0 18 16 776
"1889" 1997 "176000" 1 "Gagea saxatilis (Mert. & W. D. J. Koch) Schult. & Schult. f." 8 "Liliaceae" "VU" "4" "C" "R" "4.5" "3" "5" "1.5" "3" "0" "0" "0" "1" "0" "0" "0" "0" "0" "0" "0" "0" "5_VU" 1.5 4.5 3 3 4 5 1 1 15 13 776
"1890" 2001 "197200" 1 "Heliotropium europaeum L." 30 "Boraginaceae" "VU" "4" "C" "RR" "4.5" "4" "4" "2" "4" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "1" "5_VU" 2 4.5 4 4 4 4 2 1 11 9 776
"1891" 1996 "212400" 1 "Hyssopus officinalis L." 50 "Lamiaceae" "NT" "2" "CC" "0" "4.5" "4" "4" "1" "4" "0" "0" "0" "0" "1" "0" "0" "0" "0" "0" "0" "0" "6_NT" 1 4.5 4 4 2 4 0 2 16 14 776
"1892" 1995 "219500" 0 "Juncus sphaerocarpus Nees" 20 "Juncaceae" "CR" "3" "0" "RR" "4.5" "4" "4" "4" "2" "0" "1" "0" "0" "0" "0" "0" "0" "0" "0" "0" "1" "3_CR" 4 4.5 4 2 3 4 2 0 17 15 776
"1893" 2001 "230700" 1 "Lathyrus sphaericus Retz." 50 "Fabaceae" "VU" "3" "0" "RRR" "5" "4" "3" "2" "3" "0" "0" "0" "0" "1" "0" "0" "0" "0" "0" "0" "1" "5_VU" 2 5 4 3 3 3 3 0 11 9 776
"1894" 1996 "26600" 1 "Alyssoides utriculata (L.) Moench" 50 "Brassicaceae" "NT" "2" "C" "0" "4" "4" "4" "2" "3" "0" "0" "0" "1" "1" "0" "0" "0" "0" "0" "0" "0" "6_NT" 2 4 4 3 2 4 0 1 16 14 776
"1895" 1998 "34200" 1 "Anogramma leptophylla (L.) Link" 10 "Polypodiaceae" "EN" "1" "0" "R" "4.5" "1" "3" "2" "4" "0" "0" "0" "1" "0" "0" "0" "0" "0" "0" "0" "0" "4_EN" 2 4.5 1 4 1 3 1 0 14 12 776
"1896" 1996 "380000" 1 "Scleranthus annuus subsp. verticillatus (Tausch) Arcang." 15 "Caryophyllaceae" "EN" "3" "0" "RR" "5" "4" "4" "1.5" "4" "0" "0" "0" "1" "0" "0" "0" "0" "0" "0" "0" "0" "4_EN" 1.5 5 4 4 3 4 2 0 16 14 776
"1897" 1994 "437400" 0 "Valerianella eriocarpa Desv." 30 "Valerianaceae" "CR" "3" "0" "RRR" "5" "3" "4" "1.5" "3" "0" "0" "0" "1" "0" "0" "0" "0" "0" "0" "0" "1" "3_CR" 1.5 5 3 3 3 4 3 0 18 16 776
"1898" 1996 "444200" 1 "Veronica verna L." 8 "Scrophulariaceae" "NT" "1" "0" "RR" "4" "4" "4" "1" "2" "0" "0" "0" "1" "0" "0" "0" "0" "0" "0" "0" "1" "6_NT" 1 4 4 2 1 4 2 0 16 14 776
"1899" 1996 "450400" 1 "Viola kitaibeliana Schult." 6 "Violaceae" "VU" "2" "0" "RRR" "4.5" "4" "4" "1.5" "3" "0" "0" "0" "1" "0" "0" "0" "0" "0" "0" "0" "0" "5_VU" 1.5 4.5 4 3 2 4 3 0 16 14 776
"1900" 1997 "158700" 0 "Erysimum virgatum Roth" 100 "Brassicaceae" "NT" "4" "C" "R" "3.5" "5" "3" "2" "3" "0" "0" "0" "0" "0" "0" "0" "1" "0" "0" "0" "0" "6_NT" 2 3.5 5 3 4 3 1 1 15 13 777
"1901" 1997 "214500" 0 "Inula helvetica Weber" 150 "Asteraceae" "VU" "2" "C" "0" "4.5" "2" "3" "4" "4" "0" "1" "0" "0" "0" "0" "0" "1" "0" "0" "0" "0" "5_VU" 4 4.5 2 4 2 3 0 1 15 13 778
"1902" 1999 "71200" 0 "Calamagrostis pseudophragmites (Haller f.) Koeler" 150 "Poaceae" "NT" "3" "CC" "0" "3.5" "4" "3" "3.5" "4" "0" "1" "0" "1" "0" "0" "0" "0" "0" "0" "0" "0" "6_NT" 3.5 3.5 4 4 3 3 0 2 13 11 778
"1903" 1999 "396000" 0 "Silene noctiflora L." 50 "Caryophyllaceae" "VU" "4" "0" "RRR" "4" "4" "4" "2" "4" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "1" "1" "5_VU" 2 4 4 4 4 4 3 0 13 11 779
"1904" 1998 "208600" 1 "Hottonia palustris L." 60 "Primulaceae" "EN" "3" "C" "0" "4.5" "3" "3" "5" "3" "1" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "4_EN" 5 4.5 3 3 3 3 0 1 14 12 780
"1905" 1998 "209300" 1 "Hydrocharis morsus-ranae L." 30 "Hydrocharitaceae" "EN" "4" "C" "0" "4.5" "4" "4" "5" "4" "1" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "4_EN" 5 4.5 4 4 4 4 0 1 14 12 780
"1906" 1998 "237000" 1 "Leucojum aestivum L." 50 "Amaryllidaceae" "VU" "4" "C" "R" "4.5" "2" "3" "4" "4" "0" "0" "1" "0" "0" "0" "0" "0" "0" "0" "0" "0" "5_VU" 4 4.5 2 4 4 3 1 1 14 12 780
"1907" 1998 "253900" 1 "Marsilea quadrifolia L." 15 "Marsileaceae" "EN" "3" "C" "0" "4.5" "2" "4" "4.5" "3" "1" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "4_EN" 4.5 4.5 2 3 3 4 0 1 14 12 780
"1908" 2000 "273600" 0 "Oenanthe aquatica (L.) Poir." 200 "Apiaceae" "EN" "4" "C" "R" "4.5" "2" "3" "5" "4" "1" "1" "1" "0" "0" "0" "0" "0" "0" "0" "0" "0" "4_EN" 5 4.5 2 4 4 3 1 1 12 10 780
"1909" 2000 "273700" 0 "Oenanthe fistulosa L." 90 "Apiaceae" "EN" "3" "CC" "0" "4.5" "2" "4" "4.5" "3" "1" "0" "1" "0" "0" "0" "0" "0" "0" "0" "0" "0" "4_EN" 4.5 4.5 2 3 3 4 0 2 12 10 780
"1910" 1998 "362700" 0 "Sagittaria sagittifolia L." 100 "Alismataceae" "EN" "4" "C" "0" "4.5" "3" "3" "5" "4" "1" "1" "1" "0" "0" "0" "0" "0" "0" "0" "0" "0" "4_EN" 5 4.5 3 4 4 3 0 1 14 12 780
"1911" 1998 "368500" 0 "Samolus valerandi L." 40 "Primulaceae" "CR" "3" "C" "0" "4.5" "2" "4" "4" "4" "0" "1" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "3_CR" 4 4.5 2 4 3 4 0 1 14 12 780
"1912" 1998 "399300" 1 "Sium latifolium L." 150 "Apiaceae" "CR" "4" "CC" "0" "4.5" "3" "3" "4.5" "4" "0" "1" "1" "0" "0" "0" "0" "0" "0" "0" "0" "0" "3_CR" 4.5 4.5 3 4 4 3 0 2 14 12 780
"1913" 1998 "441300" 0 "Veronica catenata Pennell" 60 "Scrophulariaceae" "EN" "4" "C" "R" "4" "3" "4" "4.5" "4" "1" "1" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "4_EN" 4.5 4 3 4 4 4 1 1 14 12 780
"1914" 1998 "450200" 1 "Viola elatior Fr." 50 "Violaceae" "EN" "3" "C" "0" "4" "3" "4" "4" "3" "0" "0" "1" "0" "0" "0" "0" "0" "0" "0" "0" "0" "4_EN" 4 4 3 3 3 4 0 1 14 12 780
"1915" 1998 "281300" 1 "Orchis palustris Jacq." 50 "Orchidaceae" "VU" "2" "C" "R" "4.5" "3" "4" "4.5" "4" "0" "0" "1" "0" "0" "0" "0" "0" "0" "0" "0" "0" "5_VU" 4.5 4.5 3 4 2 4 1 1 14 12 781
"1916" 1994 "281300" 0 "Orchis palustris Jacq." 50 "Orchidaceae" "VU" "2" "C" "R" "4.5" "3" "4" "4.5" "4" "0" "0" "1" "0" "0" "0" "0" "0" "0" "0" "0" "0" "5_VU" 4.5 4.5 3 4 2 4 1 1 18 16 782
"1917" 1997 "428600" 0 "Trinia glauca (L.) Dumort." 50 "Apiaceae" "VU" "2" "C" "R" "4.5" "4" "4" "1" "4" "0" "0" "0" "0" "1" "0" "1" "0" "0" "0" "0" "0" "5_VU" 1 4.5 4 4 2 4 1 1 15 13 783
